donor_id,blood_type,city,state,latitude,longitude,last_donation_days_ago,contact
D0_000,A+,Port Blair,Andaman And Nicobar Islands,11.699597049975983,92.72182718538035,58,+917599310825
D0_001,A-,Port Blair,Andaman And Nicobar Islands,11.684491251244904,92.70051626794817,56,+917402418010
D0_002,B-,Port Blair,Andaman And Nicobar Islands,11.675977528810337,92.69999159696839,85,+917854001193
D0_003,AB+,Port Blair,Andaman And Nicobar Islands,11.64748606220407,92.75626456838759,169,+917027911967
D0_004,AB+,Port Blair,Andaman And Nicobar Islands,11.659467051651799,92.71288594998117,70,+918445662585
D0_005,A-,Port Blair,Andaman And Nicobar Islands,11.663434730063734,92.73323593804847,56,+918477278577
D0_006,A+,Port Blair,Andaman And Nicobar Islands,11.698415178669382,92.75096080914547,97,+918625792787
D0_007,O+,Port Blair,Andaman And Nicobar Islands,11.7083824664253,92.75918997523642,50,+918553210608
D0_008,B-,Port Blair,Andaman And Nicobar Islands,11.695899183621492,92.70192043836556,177,+917978815630
D0_009,A-,Port Blair,Andaman And Nicobar Islands,11.710973772101514,92.78398636667552,104,+918632629719
D0_010,AB-,Port Blair,Andaman And Nicobar Islands,11.68901044442644,92.733821217897,101,+918589915144
D0_011,B-,Port Blair,Andaman And Nicobar Islands,11.69245951743777,92.76752003134585,120,+919935814872
D0_012,B+,Port Blair,Andaman And Nicobar Islands,11.67885598770297,92.72181909251515,48,+918985392498
D0_013,O+,Port Blair,Andaman And Nicobar Islands,11.72439433506366,92.76133797598541,127,+919392080953
D0_014,O-,Port Blair,Andaman And Nicobar Islands,11.709727192018981,92.77493799115463,86,+917983753977
D1_000,AB+,Port Blair,Andaman And Nicobar Islands,11.62646708759757,92.68851628435863,110,+919436019774
D1_001,B-,Port Blair,Andaman And Nicobar Islands,11.665236866529487,92.70698119010606,110,+919761027762
D1_002,B+,Port Blair,Andaman And Nicobar Islands,11.626181016649804,92.69208075076939,147,+919411057787
D1_003,O+,Port Blair,Andaman And Nicobar Islands,11.674394381165225,92.71026138272946,167,+919506254832
D1_004,O-,Port Blair,Andaman And Nicobar Islands,11.621625075915727,92.7671717606495,132,+919188398760
D2_000,A+,Port Blair,Andaman And Nicobar Islands,11.689339290966666,92.69599813193483,53,+917687117441
D2_001,A-,Port Blair,Andaman And Nicobar Islands,11.64170573116745,92.74030284283612,138,+919010258946
D2_002,O+,Port Blair,Andaman And Nicobar Islands,11.70033683776136,92.76679197022345,165,+917049310608
D2_003,O+,Port Blair,Andaman And Nicobar Islands,11.680088873265744,92.71473154730312,59,+918260573448
D2_004,B+,Port Blair,Andaman And Nicobar Islands,11.648601370632921,92.77609559275211,141,+918131247330
D2_005,B+,Port Blair,Andaman And Nicobar Islands,11.653997167460432,92.69135508227977,158,+919685643886
D2_006,B-,Port Blair,Andaman And Nicobar Islands,11.618512926854963,92.75696508000752,106,+919316615266
D2_007,A+,Port Blair,Andaman And Nicobar Islands,11.663123458446023,92.7295745708029,165,+917480468219
D2_008,O+,Port Blair,Andaman And Nicobar Islands,11.627174231033806,92.70480115924472,122,+919436779490
D2_009,A-,Port Blair,Andaman And Nicobar Islands,11.676419759484462,92.76231632534201,50,+919287955558
D2_010,B+,Port Blair,Andaman And Nicobar Islands,11.669204082274737,92.77539886797051,62,+917709214891
D2_011,AB+,Port Blair,Andaman And Nicobar Islands,11.699665290600745,92.77360534930023,97,+919962958940
D3_000,AB+,Anantapur,Andhra Pradesh,14.704450935666088,77.62490280576395,109,+918881625505
D3_001,AB-,Anantapur,Andhra Pradesh,14.617036419586826,77.58238473370315,162,+918452066459
D3_002,B-,Anantapur,Andhra Pradesh,14.663780011441034,77.5606340838985,35,+919710566582
D3_003,B-,Anantapur,Andhra Pradesh,14.61167603281103,77.5630562958053,45,+918419179580
D3_004,B-,Anantapur,Andhra Pradesh,14.632783726396454,77.60845644991505,48,+919315992115
D3_005,AB-,Anantapur,Andhra Pradesh,14.629235724239571,77.60721229429446,63,+918748309234
D3_006,A-,Anantapur,Andhra Pradesh,14.614629081422882,77.60302011824064,78,+918819256337
D3_007,AB-,Anantapur,Andhra Pradesh,14.69131967483696,77.56533211872322,135,+919806569935
D4_000,A+,Ananthapur,Andhra Pradesh,14.661721128210228,77.58061426053949,55,+917469306919
D4_001,B-,Ananthapur,Andhra Pradesh,14.640479890844082,77.5915453547833,93,+918811967841
D4_002,O+,Ananthapur,Andhra Pradesh,14.667721806840097,77.63413259540705,76,+917323775634
D4_003,A-,Ananthapur,Andhra Pradesh,14.626517832952489,77.64661224684127,143,+917063384488
D4_004,B-,Ananthapur,Andhra Pradesh,14.638090111060391,77.59524811254506,53,+917918037633
D4_005,A+,Ananthapur,Andhra Pradesh,14.637922712140153,77.54689953783515,132,+918676848676
D4_006,AB-,Ananthapur,Andhra Pradesh,14.649983922894693,77.61634315036001,97,+919387006772
D4_007,B+,Ananthapur,Andhra Pradesh,14.640448786726765,77.56845408984141,154,+917251183830
D4_008,A+,Ananthapur,Andhra Pradesh,14.696256556037907,77.55240052729074,178,+919509023674
D4_009,B+,Ananthapur,Andhra Pradesh,14.627146957972869,77.59746684969934,152,+917798112150
D4_010,A-,Ananthapur,Andhra Pradesh,14.68898025536041,77.57020438950009,47,+917514909066
D4_011,B-,Ananthapur,Andhra Pradesh,14.679350905750722,77.5506581662289,175,+917352116052
D4_012,O-,Ananthapur,Andhra Pradesh,14.714929625773642,77.56710991994235,137,+918349409434
D4_013,O+,Ananthapur,Andhra Pradesh,14.661037584679127,77.613853022296,91,+918288477634
D4_014,O-,Ananthapur,Andhra Pradesh,14.714360833170552,77.64025742874448,147,+917040009587
D5_000,A-,Ananthapur,Andhra Pradesh,14.639214072109963,77.5719064312267,174,+918139027119
D5_001,O-,Ananthapur,Andhra Pradesh,14.719974417368645,77.63851802424846,63,+918587106770
D5_002,B+,Ananthapur,Andhra Pradesh,14.675706457300771,77.60491279622616,102,+918299301222
D5_003,A+,Ananthapur,Andhra Pradesh,14.698674320371259,77.60605122824896,165,+919849232839
D5_004,B+,Ananthapur,Andhra Pradesh,14.658334592148714,77.63956227070057,56,+919376077463
D5_005,O+,Ananthapur,Andhra Pradesh,14.66006362714579,77.57165396548069,69,+918472659626
D5_006,O+,Ananthapur,Andhra Pradesh,14.6824289058098,77.57570312520699,82,+917218179599
D5_007,AB+,Ananthapur,Andhra Pradesh,14.714822808937223,77.5549996761799,53,+918432614422
D5_008,O+,Ananthapur,Andhra Pradesh,14.648046197627389,77.59477455118608,63,+918836901321
D5_009,A+,Ananthapur,Andhra Pradesh,14.643075388058934,77.64509609390466,173,+919967906665
D5_010,A+,Ananthapur,Andhra Pradesh,14.715347501988603,77.60884195664897,68,+917636057975
D5_011,B+,Ananthapur,Andhra Pradesh,14.636070885816887,77.58705615153272,140,+917171347175
D6_000,B-,Bathalapalli,Andhra Pradesh,14.669600341063555,77.60419386346146,83,+919404681399
D6_001,B+,Bathalapalli,Andhra Pradesh,14.695483382256956,77.59249973322294,134,+917697939765
D6_002,AB+,Bathalapalli,Andhra Pradesh,14.605385636189819,77.64248244717551,75,+918426725702
D6_003,B-,Bathalapalli,Andhra Pradesh,14.629587570959448,77.64756345091355,135,+917464267175
D6_004,A+,Bathalapalli,Andhra Pradesh,14.688766325133779,77.59106937175457,127,+918976987348
D6_005,O+,Bathalapalli,Andhra Pradesh,14.684960638097158,77.6559583035863,119,+917957449367
D6_006,B-,Bathalapalli,Andhra Pradesh,14.64275359785648,77.5966863061023,36,+917298159856
D6_007,O-,Bathalapalli,Andhra Pradesh,14.667055173860764,77.608793838436,101,+919303029031
D6_008,A+,Bathalapalli,Andhra Pradesh,14.614441175185144,77.66586606110222,114,+917766942939
D6_009,O+,Bathalapalli,Andhra Pradesh,14.606732719735326,77.62848312549878,178,+918484714820
D7_000,A-,Guntakal,Andhra Pradesh,15.161408543334472,77.37376180434966,141,+918094024844
D7_001,AB+,Guntakal,Andhra Pradesh,15.123058127821862,77.4086605165499,41,+919312633708
D7_002,O-,Guntakal,Andhra Pradesh,15.166018739962498,77.41099044859713,80,+918418198351
D7_003,A-,Guntakal,Andhra Pradesh,15.194864426301395,77.34613522682112,110,+918328367510
D7_004,O-,Guntakal,Andhra Pradesh,15.163129038705772,77.34566852025259,134,+917546696950
D7_005,AB+,Guntakal,Andhra Pradesh,15.189381943421276,77.35401752771224,79,+917747441732
D7_006,O+,Guntakal,Andhra Pradesh,15.163496516875815,77.3994755169304,175,+918305132983
D7_007,B-,Guntakal,Andhra Pradesh,15.165877814998984,77.37410147811957,103,+919811939242
D7_008,AB-,Guntakal,Andhra Pradesh,15.167067601683796,77.38366572331901,112,+919195475598
D7_009,B+,Guntakal,Andhra Pradesh,15.188774074499841,77.3444816404993,151,+919851230518
D8_000,A-,Hindupur,Andhra Pradesh,13.864375346453667,77.51732781375408,115,+919889635392
D8_001,B-,Hindupur,Andhra Pradesh,13.863189289457626,77.45694939622459,109,+917198486416
D8_002,AB-,Hindupur,Andhra Pradesh,13.843660397306067,77.51906293390002,92,+918955997540
D8_003,B-,Hindupur,Andhra Pradesh,13.854367591549899,77.48061184673928,136,+918716495971
D8_004,B+,Hindupur,Andhra Pradesh,13.848138801111178,77.4427684818138,92,+917457788949
D8_005,B-,Hindupur,Andhra Pradesh,13.800121668170654,77.53801060422796,138,+919224611603
D8_006,A+,Hindupur,Andhra Pradesh,13.838273579403339,77.53396100144555,148,+917521231222
D8_007,B+,Hindupur,Andhra Pradesh,13.862674660172226,77.50897177325864,146,+919400565848
D8_008,AB-,Hindupur,Andhra Pradesh,13.843798232276177,77.5141413961276,111,+919168005699
D8_009,AB-,Hindupur,Andhra Pradesh,13.872253810323325,77.51657954421596,139,+919038711176
D8_010,O+,Hindupur,Andhra Pradesh,13.85771067865005,77.5262002887842,145,+918191043170
D8_011,AB-,Hindupur,Andhra Pradesh,13.845207843698178,77.46967374469176,163,+917332788471
D8_012,B-,Hindupur,Andhra Pradesh,13.809704510708219,77.47418495684188,103,+919319936135
D8_013,B+,Hindupur,Andhra Pradesh,13.797616065801309,77.48051752924314,50,+917656293602
D8_014,A-,Hindupur,Andhra Pradesh,13.824019789589821,77.47530213910382,84,+919001129658
D9_000,B-,Kadiri,Andhra Pradesh,14.146378116934049,78.14631368126669,45,+919508601974
D9_001,AB+,Kadiri,Andhra Pradesh,14.110786973255736,78.2016401657434,35,+918282531582
D9_002,AB+,Kadiri,Andhra Pradesh,14.116911056761024,78.18082940607563,129,+919590950133
D9_003,AB-,Kadiri,Andhra Pradesh,14.085031163462144,78.15094959760467,86,+917124660666
D9_004,O-,Kadiri,Andhra Pradesh,14.129976362062292,78.18718023244202,129,+917708861714
D9_005,B+,Kadiri,Andhra Pradesh,14.161161197751893,78.16077836295325,149,+918692304102
D9_006,A+,Kadiri,Andhra Pradesh,14.0714837462162,78.1502272769661,174,+918982979741
D9_007,A+,Kadiri,Andhra Pradesh,14.089104631391931,78.14010126669417,76,+918952918745
D9_008,O-,Kadiri,Andhra Pradesh,14.139211970789404,78.14527862155641,113,+918810607153
D9_009,A-,Kadiri,Andhra Pradesh,14.110119683621305,78.18226842610828,94,+917223705953
D9_010,B-,Kadiri,Andhra Pradesh,14.128103409324988,78.18548930496108,119,+919799264931
D10_000,B-,Puttaparthy,Andhra Pradesh,14.121825068236253,77.72888800173203,37,+917654477195
D10_001,B+,Puttaparthy,Andhra Pradesh,14.149245106094613,77.73828894461093,91,+917936150587
D10_002,O+,Puttaparthy,Andhra Pradesh,14.178578809835624,77.74362891433678,149,+919608108101
D10_003,B+,Puttaparthy,Andhra Pradesh,14.19836107730341,77.73765987496576,59,+917110287971
D10_004,AB+,Puttaparthy,Andhra Pradesh,14.141554444151664,77.79835147050494,109,+917326402374
D11_000,A-,Chittoor,Andhra Pradesh,13.236895300249577,79.08048726854877,92,+919938870196
D11_001,A+,Chittoor,Andhra Pradesh,13.201896376530845,79.09316680132348,60,+918591589823
D11_002,O-,Chittoor,Andhra Pradesh,13.168441215016585,79.09233487408419,47,+919105400301
D11_003,AB+,Chittoor,Andhra Pradesh,13.263254756721459,79.11388751061014,57,+918974565461
D11_004,AB+,Chittoor,Andhra Pradesh,13.184789696108606,79.10250367469385,69,+919793693337
D11_005,AB-,Chittoor,Andhra Pradesh,13.213663377163451,79.13290245984207,99,+919544659112
D11_006,O-,Chittoor,Andhra Pradesh,13.252347316001934,79.13340210188906,98,+917372214308
D11_007,AB-,Chittoor,Andhra Pradesh,13.191562343919095,79.09679984666033,101,+919621354709
D11_008,O-,Chittoor,Andhra Pradesh,13.17004599977701,79.13542428363125,127,+917780996231
D11_009,B-,Chittoor,Andhra Pradesh,13.20265849661761,79.07616424088587,154,+918201124041
D11_010,A+,Chittoor,Andhra Pradesh,13.218838725171494,79.06943464235272,100,+918036616336
D11_011,AB-,Chittoor,Andhra Pradesh,13.222693621158186,79.07436139361242,134,+919044804330
D11_012,AB-,Chittoor,Andhra Pradesh,13.246469286813232,79.05963433505546,155,+917951749308
D11_013,B-,Chittoor,Andhra Pradesh,13.197796603013009,79.10848455853323,133,+919032638323
D12_000,O-,Chittoor,Andhra Pradesh,13.209726381270523,79.12492254367136,165,+918420737819
D12_001,AB-,Chittoor,Andhra Pradesh,13.19426764269762,79.0754693676201,120,+917518213060
D12_002,O-,Chittoor,Andhra Pradesh,13.179131474125505,79.10391539653838,79,+919964229896
D12_003,B-,Chittoor,Andhra Pradesh,13.18881446398786,79.09874885872128,77,+919532256470
D12_004,O+,Chittoor,Andhra Pradesh,13.265227063046252,79.13359183633271,164,+918272368870
D12_005,O-,Chittoor,Andhra Pradesh,13.18512015436854,79.0517438367256,88,+919294092753
